Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,0,10,0.0,10,13,193,1
1,0,16,0.0,15,19,134,0
2,0,13,0.0,13,16,214,1
3,0,16,0.0,15,19,197,0
4,0,17,0.0,16,20,188,0
5,0,15,0.0,14,18,146,0
6,0,21,0.0,20,24,167,0
7,0,21,0.0,20,24,261,0
8,0,16,0.0,15,19,158,0
9,0,13,0.0,12,16,120,0
10,0,5,0.0,4,8,54,0
11,0,28,0.0,27,31,432,0
12,0,17,0.0,16,20,167,0
13,0,16,0.0,15,19,182,0
14,0,11,0.0,10,14,121,0
15,0,6,0.0,5,9,51,0
16,0,19,0.0,18,22,211,0
17,0,23,0.0,22,26,188,0
18,0,21,0.0,20,24,157,0
19,0,0,0.0,0,3,101,1
20,0,25,0.0,24,28,372,0
21,0,19,0.0,18,22,182,0
22,0,13,0.0,13,16,213,1
23,0,28,0.0,27,31,303,0
24,0,6,0.0,5,9,27,0
25,0,16,0.0,15,19,155,0
26,0,30,0.0,29,33,356,0
27,0,20,0.0,19,23,203,0
28,0,16,0.0,16,19,236,1
29,0,10,0.0,9,13,74,0
30,0,24,0.0,23,27,210,0
31,0,8,0.0,7,11,51,0
32,0,19,0.0,18,22,213,0
33,0,32,0.0,31,35,411,0
34,0,23,0.0,22,26,342,0
35,0,0,0.0,0,3,101,1
36,0,9,0.0,8,12,74,0
37,0,24,0.0,23,27,255,0
38,0,12,0.0,11,15,108,0
39,0,11,0.0,11,14,189,1
40,0,6,0.0,5,9,48,0
41,0,3,0.0,3,6,123,1
42,0,19,0.0,18,22,169,0
43,0,14,0.0,13,17,134,0
44,0,7,0.0,7,10,158,1
45,0,16,0.0,16,19,233,1
46,0,2,0.0,2,5,116,1
47,0,27,0.0,26,30,398,0
48,0,22,0.0,21,25,179,0
49,0,17,0.0,17,20,236,1
50,0,23,0.0,22,26,287,0
51,0,21,0.0,20,24,268,0
52,0,8,0.0,7,11,46,0
53,0,19,0.0,18,22,205,0
54,0,17,0.0,17,20,324,1
55,0,7,0.0,6,10,51,0
56,0,20,0.0,19,23,245,0
57,0,18,0.0,17,21,138,0
58,0,14,0.0,13,17,131,0
59,0,7,0.0,6,10,55,0
60,0,12,0.0,11,15,136,0
61,0,17,0.0,16,20,201,0
62,0,20,0.0,19,23,256,0
63,0,10,0.0,9,13,114,0
64,0,13,0.0,13,16,231,1
65,0,22,0.0,21,25,226,0
66,0,1,0.0,1,4,108,1
67,0,2,0.0,2,5,111,1
68,0,0,0.0,0,3,101,1
69,0,16,0.0,15,19,229,0
70,0,22,0.0,21,25,261,0
71,0,30,0.0,29,33,448,0
72,0,21,0.0,20,24,272,0
73,0,21,0.0,20,24,235,0
74,0,28,0.0,27,31,377,0
75,0,1,0.0,1,4,111,1
76,0,3,0.0,3,6,127,1
77,0,26,0.0,25,29,284,0
78,0,17,0.0,16,20,224,0
79,0,18,0.0,17,21,212,0
80,0,24,0.0,23,27,251,0
81,0,24,0.0,23,27,284,0
82,0,33,0.0,32,36,483,0
83,0,21,0.0,20,24,200,0
84,0,19,0.0,19,22,319,1
85,0,23,0.0,22,26,278,0
86,0,14,0.0,13,17,140,0
87,0,22,0.0,21,25,196,0
88,0,5,0.0,4,8,44,0
89,0,24,0.0,23,27,281,0
90,0,4,0.0,4,7,133,1
91,0,20,0.0,19,23,170,0
92,0,19,0.0,18,22,204,0
93,0,22,0.0,21,25,295,0
94,0,12,0.0,12,15,199,1
95,0,1,0.0,1,4,106,1
96,0,12,0.0,12,15,262,1
97,0,4,0.0,4,7,135,1
98,0,8,0.0,7,11,83,0
99,0,32,0.0,31,35,377,0
