Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,0,28,0.0,27,31,287,0
1,0,9,0.0,8,12,64,0
2,0,19,0.0,18,22,155,0
3,0,20,0.0,19,23,156,0
4,0,22,0.0,21,25,212,0
5,0,17,0.0,16,20,144,0
6,0,15,0.0,14,18,129,0
7,0,25,0.0,24,28,180,0
8,0,17,0.0,16,20,168,0
9,0,24,0.0,23,27,214,0
10,0,13,0.0,12,16,74,0
11,0,15,0.0,14,18,110,0
12,0,33,0.0,32,36,249,0
13,0,27,0.0,26,30,264,0
14,0,20,0.0,19,23,164,0
15,0,36,0.0,35,39,323,0
16,0,13,0.0,12,16,115,0
17,0,15,0.0,14,18,126,0
18,0,9,0.0,8,12,54,0
19,0,14,0.0,13,17,113,0
20,0,16,0.0,15,19,109,0
21,0,9,0.0,8,12,88,0
22,0,22,0.0,21,25,183,0
23,0,22,0.0,21,25,199,0
24,0,23,0.0,22,26,239,0
25,0,17,0.0,16,20,128,0
26,0,17,0.0,16,20,151,0
27,0,17,0.0,16,20,173,0
28,0,22,0.0,21,25,145,0
29,0,14,0.0,13,17,118,0
30,0,8,0.0,7,11,50,0
31,0,18,0.0,17,21,144,0
32,0,15,0.0,14,18,156,0
33,0,9,0.0,8,12,81,0
34,0,14,0.0,13,17,110,0
35,0,19,0.0,18,22,154,0
36,0,14,0.0,13,17,145,0
37,0,29,0.0,28,32,261,0
38,0,18,0.0,17,21,156,0
39,0,12,0.0,11,15,67,0
40,0,21,0.0,20,24,168,0
41,0,19,0.0,18,22,188,0
42,0,12,0.0,11,15,92,0
43,0,23,0.0,22,26,206,0
44,0,13,0.0,12,16,100,0
45,0,18,0.0,17,21,132,0
46,0,10,0.0,9,13,61,0
47,0,8,0.0,7,11,54,0
48,0,15,0.0,14,18,145,0
49,0,25,0.0,24,28,236,0
50,0,14,0.0,13,17,88,0
51,0,10,0.0,9,13,78,0
52,0,11,0.0,10,14,106,0
53,0,8,0.0,7,11,78,0
54,0,21,0.0,20,24,185,0
55,0,8,0.0,7,11,60,0
56,0,20,0.0,19,23,139,0
57,0,24,0.0,23,27,195,0
58,0,16,0.0,15,19,122,0
59,0,7,0.0,6,10,60,0
60,0,25,0.0,24,28,237,0
61,0,30,0.0,29,33,234,0
62,0,20,0.0,19,23,188,0
63,0,19,0.0,18,22,166,0
64,0,13,0.0,12,16,123,0
65,0,18,0.0,17,21,135,0
66,0,15,0.0,14,18,135,0
67,0,28,0.0,27,31,290,0
68,0,15,0.0,14,18,106,0
69,0,31,0.0,30,34,341,0
70,0,16,0.0,15,19,141,0
71,0,20,0.0,19,23,185,0
72,0,12,0.0,11,15,90,0
73,0,5,0.0,4,8,33,0
74,0,14,0.0,13,17,125,0
75,0,6,0.0,5,9,51,0
76,0,13,0.0,12,16,136,0
77,0,22,0.0,21,25,175,0
78,0,10,0.0,9,13,69,0
79,0,19,0.0,18,22,190,0
80,0,22,0.0,21,25,183,0
81,0,17,0.0,16,20,136,0
82,0,21,0.0,20,24,175,0
83,0,7,0.0,6,10,51,0
84,0,15,0.0,14,18,113,0
85,0,18,0.0,17,21,113,0
86,0,15,0.0,14,18,104,0
87,0,14,0.0,13,17,133,0
88,0,18,0.0,17,21,133,0
89,0,27,0.0,26,30,263,0
90,0,13,0.0,12,16,124,0
91,0,15,0.0,14,18,148,0
92,0,22,0.0,21,25,232,0
93,0,11,0.0,10,14,86,0
94,0,31,0.0,30,34,346,0
95,0,17,0.0,16,20,152,0
96,0,13,0.0,12,16,113,0
97,0,20,0.0,19,23,182,0
98,0,18,0.0,17,21,169,0
99,0,11,0.0,10,14,81,0
