Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,7,1,7.0,700,4,155,0
1,12,0,inf,1199,3,207,0
2,0,2,0.0,1,5,19,0
3,31,5,6.2,3104,8,303,0
4,0,0,0.0,-1,3,101,0
5,8,4,2.0,803,7,181,0
6,24,2,12.0,2401,5,187,0
7,0,1,0.0,0,4,105,0
8,1,2,0.5,101,5,18,0
9,2,2,1.0,201,5,39,0
10,30,6,5.0,3005,9,259,0
11,1,3,0.3333333333333333,102,6,131,0
12,3,1,3.0,300,4,120,0
13,15,1,15.0,1500,4,219,0
14,4,1,4.0,400,4,137,0
15,7,7,1.0,706,10,135,0
16,2,1,2.0,200,4,41,0
17,6,2,3.0,601,5,170,0
18,14,1,14.0,1400,4,198,0
19,16,3,5.333333333333333,1602,6,172,0
20,2,0,inf,199,3,13,0
21,3,1,3.0,300,4,132,0
22,1,1,1.0,100,4,121,0
23,10,3,3.3333333333333335,1002,6,204,0
24,1,0,inf,99,3,108,0
25,5,3,1.6666666666666667,502,6,190,0
26,2,0,inf,199,3,117,0
27,28,5,5.6,2804,8,266,0
28,6,0,inf,599,3,134,0
29,9,5,1.8,904,8,88,0
30,8,0,inf,799,3,164,0
31,4,1,4.0,400,4,130,0
32,5,0,inf,499,3,137,0
33,8,1,8.0,800,4,154,0
34,5,2,2.5,501,5,165,0
35,9,2,4.5,901,5,77,0
36,12,3,4.0,1202,6,124,0
37,6,1,6.0,600,4,63,0
38,22,5,4.4,2204,8,261,0
39,12,3,4.0,1202,6,209,0
40,2,1,2.0,200,4,114,0
41,1,1,1.0,100,4,19,0
42,6,3,2.0,602,6,73,0
43,39,0,inf,3899,3,454,0
44,3,1,3.0,300,4,144,0
45,3,1,3.0,300,4,150,0
46,6,2,3.0,601,5,40,0
47,12,1,12.0,1200,4,199,0
48,6,2,3.0,601,5,176,0
49,5,1,5.0,500,4,137,0
50,18,4,4.5,1803,7,166,0
51,26,2,13.0,2601,5,234,0
52,12,1,12.0,1200,4,190,0
53,6,2,3.0,601,5,168,0
54,8,0,inf,799,3,169,0
55,3,1,3.0,300,4,30,0
56,6,2,3.0,601,5,140,0
57,0,0,0.0,-1,3,101,0
58,4,1,4.0,400,4,120,0
59,1,4,0.25,103,7,51,0
60,0,1,0.0,0,4,106,0
61,10,0,inf,999,3,173,0
62,5,0,inf,499,3,130,0
63,5,0,inf,499,3,37,0
64,5,0,inf,499,3,36,0
65,10,4,2.5,1003,7,139,0
66,12,2,6.0,1201,5,208,0
67,19,0,inf,1899,3,235,0
68,1,4,0.25,103,7,63,0
69,7,1,7.0,700,4,197,0
70,1,2,0.5,101,5,115,0
71,7,10,0.7,709,13,162,0
72,10,5,2.0,1004,8,140,0
73,20,0,inf,1999,3,273,0
74,9,0,inf,899,3,179,0
75,6,0,inf,599,3,143,0
76,8,7,1.1428571428571428,806,10,196,0
77,11,2,5.5,1101,5,127,0
78,5,0,inf,499,3,133,0
79,11,4,2.75,1103,7,92,0
80,4,0,inf,399,3,129,0
81,1,0,inf,99,3,102,0
82,0,0,0.0,-1,3,101,0
83,11,0,inf,1099,3,92,0
84,7,6,1.1666666666666667,705,9,129,0
85,0,0,0.0,-1,3,101,0
86,3,1,3.0,300,4,140,0
87,19,0,inf,1899,3,210,0
88,8,0,inf,799,3,162,0
89,1,0,inf,99,3,105,0
90,10,1,10.0,1000,4,101,0
91,25,1,25.0,2500,4,194,0
92,10,2,5.0,1001,5,201,0
93,2,2,1.0,201,5,39,0
94,18,3,6.0,1802,6,207,0
95,1,2,0.5,101,5,117,0
96,8,2,4.0,801,5,181,0
97,13,5,2.6,1304,8,129,0
98,1,0,inf,99,3,111,0
99,2,2,1.0,201,5,32,0
100,5,3,1.6666666666666667,502,6,162,0
101,3,2,1.5,301,5,139,0
102,7,0,inf,699,3,156,0
103,0,1,0.0,0,4,106,0
104,6,4,1.5,603,7,103,0
105,53,4,13.25,5303,7,437,0
106,1,0,inf,99,3,106,0
107,2,4,0.5,203,7,38,0
108,10,3,3.3333333333333335,1002,6,86,0
109,0,0,0.0,-1,3,101,0
110,7,1,7.0,700,4,88,0
111,15,3,5.0,1502,6,249,0
112,2,0,inf,199,3,110,0
113,32,1,32.0,3200,4,362,0
114,1,0,inf,99,3,108,0
115,6,1,6.0,600,4,164,0
116,2,1,2.0,200,4,134,0
117,1,1,1.0,100,4,108,0
118,4,1,4.0,400,4,119,0
119,0,0,0.0,-1,3,101,0
120,13,3,4.333333333333333,1302,6,107,0
121,7,1,7.0,700,4,150,0
122,4,1,4.0,400,4,176,0
123,4,3,1.3333333333333333,402,6,42,0
124,9,2,4.5,901,5,62,0
125,1,2,0.5,101,5,119,0
126,7,2,3.5,701,5,185,0
127,0,1,0.0,0,4,107,0
128,4,0,inf,399,3,120,0
129,1,0,inf,99,3,102,0
130,1,0,inf,99,3,103,0
131,2,0,inf,199,3,113,0
132,7,1,7.0,700,4,151,0
133,1,2,0.5,101,5,38,0
134,3,0,inf,299,3,23,0
135,0,1,0.0,0,4,109,0
136,13,2,6.5,1301,5,225,0
137,1,0,inf,99,3,110,0
138,10,0,inf,999,3,176,0
139,1,0,inf,99,3,11,0
140,2,2,1.0,201,5,38,0
141,0,0,0.0,-1,3,8,0
142,0,0,0.0,-1,3,101,0
143,20,1,20.0,2000,4,265,0
144,1,0,inf,99,3,105,0
145,11,0,inf,1099,3,180,0
146,2,0,inf,199,3,112,0
147,5,6,0.8333333333333334,505,9,197,0
148,9,1,9.0,900,4,98,0
149,9,1,9.0,900,4,219,0
150,2,9,0.2222222222222222,208,12,104,0
151,2,1,2.0,200,4,116,0
152,3,2,1.5,301,5,48,0
153,4,0,inf,399,3,126,0
154,0,2,0.0,1,5,13,0
155,4,0,inf,399,3,153,0
156,0,1,0.0,0,4,109,0
157,0,0,0.0,-1,3,101,0
158,4,4,1.0,403,7,91,0
159,1,0,inf,99,3,106,0
160,10,9,1.1111111111111112,1008,12,162,0
161,0,1,0.0,0,4,108,0
162,4,5,0.8,404,8,180,0
163,5,6,0.8333333333333334,505,9,90,0
164,15,4,3.75,1503,7,135,0
165,14,1,14.0,1400,4,231,0
166,5,2,2.5,501,5,65,0
167,13,2,6.5,1301,5,152,0
168,7,1,7.0,700,4,176,0
169,2,2,1.0,201,5,34,0
170,4,5,0.8,404,8,57,0
171,10,4,2.5,1003,7,98,0
172,22,4,5.5,2203,7,184,0
173,19,1,19.0,1900,4,158,0
174,13,0,inf,1299,3,197,0
175,1,3,0.3333333333333333,102,6,35,0
176,6,6,1.0,605,9,139,0
177,3,0,inf,299,3,124,0
178,4,4,1.0,403,7,185,0
179,1,0,inf,99,3,105,0
180,1,0,inf,99,3,106,0
181,1,0,inf,99,3,105,0
182,1,0,inf,99,3,102,0
183,0,0,0.0,-1,3,8,0
184,0,0,0.0,-1,3,101,0
185,7,0,inf,699,3,149,0
186,4,2,2.0,401,5,147,0
187,12,3,4.0,1202,6,126,0
188,10,4,2.5,1003,7,101,0
189,0,0,0.0,-1,3,101,0
190,2,0,inf,199,3,17,0
191,12,4,3.0,1203,7,120,0
192,12,0,inf,1199,3,206,0
193,8,0,inf,799,3,169,0
194,30,3,10.0,3002,6,362,0
195,4,2,2.0,401,5,178,0
196,11,1,11.0,1100,4,204,0
197,4,2,2.0,401,5,122,0
198,0,0,0.0,-1,3,101,0
199,4,2,2.0,401,5,53,0
200,1,1,1.0,100,4,118,0
201,22,0,inf,2199,3,268,0
202,1,0,inf,99,3,9,0
203,10,0,inf,999,3,198,0
204,1,3,0.3333333333333333,102,6,105,0
205,22,3,7.333333333333333,2202,6,370,0
206,8,9,0.8888888888888888,808,12,105,0
207,27,6,4.5,2705,9,270,0
208,0,2,0.0,1,5,112,0
209,1,1,1.0,100,4,26,0
210,1,0,inf,99,3,104,0
211,21,4,5.25,2103,7,194,0
212,1,0,inf,99,3,108,0
213,25,0,inf,2499,3,237,0
214,8,3,2.6666666666666665,802,6,105,0
215,0,1,0.0,0,4,108,0
216,8,1,8.0,800,4,72,0
217,3,0,inf,299,3,116,0
218,7,1,7.0,700,4,150,0
219,7,0,inf,699,3,135,0
220,3,3,1.0,302,6,152,0
221,9,1,9.0,900,4,169,0
222,23,1,23.0,2300,4,313,0
223,6,2,3.0,601,5,72,0
224,10,1,10.0,1000,4,96,0
225,12,3,4.0,1202,6,104,0
226,16,2,8.0,1601,5,130,0
227,9,3,3.0,902,6,185,0
228,17,2,8.5,1701,5,124,0
229,1,2,0.5,101,5,40,0
230,8,2,4.0,801,5,79,0
231,16,1,16.0,1600,4,211,0
232,17,1,17.0,1700,4,255,0
233,10,6,1.6666666666666667,1005,9,202,0
234,6,1,6.0,600,4,145,0
235,0,0,0.0,-1,3,101,0
236,14,2,7.0,1401,5,114,0
237,2,1,2.0,200,4,123,0
238,0,0,0.0,-1,3,101,0
239,0,0,0.0,-1,3,101,0
240,8,2,4.0,801,5,185,0
241,0,1,0.0,0,4,105,0
242,5,0,inf,499,3,143,0
243,1,1,1.0,100,4,16,0
244,8,0,inf,799,3,138,0
245,9,0,inf,899,3,179,0
246,0,2,0.0,1,5,116,0
247,13,0,inf,1299,3,184,0
248,37,3,12.333333333333334,3702,6,332,0
249,1,0,inf,99,3,14,0
250,22,2,11.0,2201,5,280,0
251,6,1,6.0,600,4,163,0
252,5,4,1.25,503,7,50,0
253,22,1,22.0,2200,4,309,0
254,1,0,inf,99,3,108,0
255,33,6,5.5,3305,9,337,0
256,20,3,6.666666666666667,2002,6,219,0
257,11,7,1.5714285714285714,1106,10,177,0
258,9,3,3.0,902,6,194,0
259,2,0,inf,199,3,26,0
260,6,0,inf,599,3,147,0
261,4,0,inf,399,3,140,0
262,11,3,3.6666666666666665,1102,6,192,0
263,1,0,inf,99,3,108,0
264,1,0,inf,99,3,106,0
265,15,1,15.0,1500,4,225,0
266,3,0,inf,299,3,115,0
267,2,1,2.0,200,4,24,0
268,19,0,inf,1899,3,231,0
269,3,3,1.0,302,6,52,0
270,8,2,4.0,801,5,78,0
271,1,0,inf,99,3,105,0
272,15,4,3.75,1503,7,143,0
273,1,0,inf,99,3,106,0
274,4,2,2.0,401,5,147,0
275,2,2,1.0,201,5,29,0
276,8,2,4.0,801,5,169,0
277,3,4,0.75,303,7,146,0
278,0,0,0.0,-1,3,101,0
279,1,1,1.0,100,4,20,0
280,16,3,5.333333333333333,1602,6,176,0
281,9,0,inf,899,3,164,0
282,1,3,0.3333333333333333,102,6,138,0
283,3,3,1.0,302,6,129,0
284,4,0,inf,399,3,33,0
285,0,2,0.0,1,5,123,0
286,6,0,inf,599,3,176,0
287,27,1,27.0,2700,4,230,0
288,3,2,1.5,301,5,34,0
289,4,0,inf,399,3,124,0
290,20,2,10.0,2001,5,262,0
291,10,6,1.6666666666666667,1005,9,106,0
292,1,0,inf,99,3,10,0
293,15,1,15.0,1500,4,117,0
294,11,3,3.6666666666666665,1102,6,117,0
295,0,1,0.0,0,4,108,0
296,17,4,4.25,1703,7,207,0
297,9,2,4.5,901,5,95,0
298,2,0,inf,199,3,115,0
299,5,1,5.0,500,4,150,0
300,2,2,1.0,201,5,44,0
301,7,1,7.0,700,4,143,0
302,8,3,2.6666666666666665,802,6,188,0
303,13,2,6.5,1301,5,132,0
304,2,2,1.0,201,5,35,0
305,1,0,inf,99,3,17,0
306,12,4,3.0,1203,7,126,0
307,5,4,1.25,503,7,156,0
308,3,3,1.0,302,6,52,0
309,20,11,1.8181818181818181,2010,14,302,0
310,9,1,9.0,900,4,177,0
311,7,0,inf,699,3,146,0
312,17,2,8.5,1701,5,303,0
313,5,1,5.0,500,4,144,0
314,1,0,inf,99,3,106,0
315,3,1,3.0,300,4,122,0
316,0,0,0.0,-1,3,101,0
317,23,5,4.6,2304,8,257,0
318,3,1,3.0,300,4,134,0
319,15,4,3.75,1503,7,150,0
320,56,2,28.0,5601,5,437,0
321,6,0,inf,599,3,150,0
322,3,0,inf,299,3,126,0
323,6,0,inf,599,3,136,0
324,1,1,1.0,100,4,115,0
325,6,0,inf,599,3,140,0
326,16,7,2.2857142857142856,1606,10,230,0
327,4,3,1.3333333333333333,402,6,45,0
328,0,0,0.0,-1,3,10,0
329,0,0,0.0,-1,3,9,0
330,1,0,inf,99,3,8,0
