Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,9,2,4.5,226,5,114,0
1,30,5,6.0,754,8,331,0
2,1,0,inf,25,3,108,1
3,10,2,5.0,251,5,112,0
4,4,3,1.3333333333333333,102,6,68,0
5,4,5,0.8,104,8,58,0
6,9,4,2.25,228,7,117,0
7,5,1,5.0,125,4,51,0
8,3,2,1.5,77,5,123,1
9,6,5,1.2,154,8,81,0
10,2,3,0.6666666666666666,52,6,58,0
11,12,7,1.7142857142857142,306,10,134,0
12,9,3,3.0,227,6,106,0
13,6,4,1.5,153,7,78,0
14,17,7,2.4285714285714284,431,10,179,0
15,12,1,12.0,301,4,262,1
16,12,7,1.7142857142857142,306,10,174,0
17,1,2,0.5,26,5,46,0
18,23,5,4.6,579,8,259,0
19,1,3,0.3333333333333333,27,6,35,0
20,4,1,4.0,101,4,136,1
21,4,0,inf,100,3,118,1
22,1,1,1.0,25,4,24,0
23,4,1,4.0,101,4,127,1
24,5,1,5.0,125,4,49,0
25,7,4,1.75,178,7,74,0
26,2,2,1.0,51,5,30,0
27,4,1,4.0,101,4,124,1
28,5,1,5.0,125,4,57,0
29,13,4,3.25,328,7,182,0
30,1,1,1.0,26,4,106,1
31,1,0,inf,24,3,8,0
32,2,1,2.0,51,4,129,1
33,5,0,inf,125,3,143,1
34,3,4,0.75,78,7,57,0
35,4,2,2.0,101,5,57,0
36,12,4,3.0,303,7,111,0
37,9,4,2.25,228,7,146,0
38,4,2,2.0,101,5,47,0
39,8,8,1.0,207,11,149,0
40,1,2,0.5,27,5,125,1
41,8,2,4.0,202,5,193,1
42,8,3,2.6666666666666665,202,6,73,0
43,13,4,3.25,328,7,136,0
44,5,3,1.6666666666666667,127,6,75,0
45,3,2,1.5,77,5,148,1
46,8,8,1.0,207,11,157,0
47,2,3,0.6666666666666666,52,6,45,0
48,3,3,1.0,77,6,70,0
49,16,4,4.0,403,7,184,0
50,25,8,3.125,632,11,369,0
51,6,3,2.0,152,6,103,0
52,6,2,3.0,151,5,44,0
53,44,19,2.3157894736842106,1118,22,491,0
54,3,1,3.0,75,4,35,0
55,18,7,2.5714285714285716,456,10,161,0
56,7,5,1.4,180,8,216,1
57,2,0,inf,50,3,112,1
58,3,2,1.5,77,5,134,1
59,31,4,7.75,778,7,283,0
60,7,3,2.3333333333333335,177,6,110,0
61,12,4,3.0,303,7,160,0
62,4,2,2.0,101,5,52,0
63,8,6,1.3333333333333333,205,9,119,0
64,0,2,0.0,2,5,122,1
65,6,7,0.8571428571428571,156,10,106,0
66,2,0,inf,50,3,125,1
67,13,7,1.8571428571428572,331,10,148,0
68,17,3,5.666666666666667,428,6,254,1
69,10,10,1.0,259,13,192,0
70,18,6,3.0,455,9,197,0
71,0,0,0.0,0,3,101,1
72,2,1,2.0,51,4,117,1
73,0,0,0.0,0,3,101,1
74,3,0,inf,75,3,126,1
75,21,8,2.625,532,11,281,0
76,4,3,1.3333333333333333,102,6,66,0
77,4,0,inf,99,3,22,0
78,1,1,1.0,25,4,21,0
79,5,2,2.5,127,5,130,1
80,4,2,2.0,102,5,145,1
81,12,1,12.0,300,4,109,0
82,2,4,0.5,53,7,37,0
83,0,0,0.0,0,3,101,1
84,3,1,3.0,75,4,57,0
85,8,7,1.1428571428571428,206,10,165,0
86,7,2,3.5,177,5,153,1
87,11,10,1.1,284,13,161,0
88,12,4,3.0,303,7,90,0
89,7,3,2.3333333333333335,177,6,93,0
90,5,5,1.0,129,8,61,0
91,6,2,3.0,152,5,162,1
92,4,3,1.3333333333333333,102,6,47,0
93,8,2,4.0,201,5,102,0
94,2,0,inf,50,3,113,1
95,13,3,4.333333333333333,327,6,147,0
96,1,0,inf,25,3,104,1
97,4,1,4.0,100,4,51,0
98,1,1,1.0,25,4,19,0
99,7,5,1.4,179,8,94,0
