Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,87,10,8.7,618,13,681,0
1,52,0,inf,363,3,486,0
2,20,3,6.666666666666667,142,6,170,0
3,45,2,22.5,316,5,340,0
4,45,5,9.0,319,8,390,0
5,103,6,17.166666666666668,726,9,747,0
6,68,6,11.333333333333334,481,9,502,0
7,18,4,4.5,129,7,162,0
8,13,3,4.333333333333333,93,6,108,0
9,12,2,6.0,85,5,95,0
10,44,4,11.0,311,7,377,0
11,77,4,19.25,542,7,531,0
12,23,4,5.75,164,7,219,0
13,13,3,4.333333333333333,93,6,140,0
14,82,2,41.0,575,5,627,0
15,1,0,inf,6,3,43,0
16,26,4,6.5,185,7,211,0
17,36,3,12.0,254,6,269,0
18,37,2,18.5,260,5,302,0
19,112,5,22.4,788,8,904,0
20,34,2,17.0,239,5,278,0
21,147,5,29.4,1033,8,1067,0
22,10,0,inf,69,3,97,0
23,5,2,2.5,36,5,50,0
24,20,3,6.666666666666667,142,6,159,0
25,22,2,11.0,155,5,175,0
26,41,7,5.857142857142857,293,10,333,0
27,57,4,14.25,402,7,475,0
28,3,2,1.5,22,5,25,0
29,66,3,22.0,464,6,481,0
30,31,8,3.875,224,11,305,0
31,85,2,42.5,596,5,659,0
32,39,10,3.9,282,13,359,0
33,35,6,5.833333333333333,250,9,341,0
34,53,7,7.571428571428571,377,10,455,0
35,70,4,17.5,493,7,556,0
36,16,4,4.0,115,7,119,0
37,26,2,13.0,183,5,203,0
38,40,4,10.0,283,7,343,0
39,42,7,6.0,300,10,367,0
40,85,5,17.0,599,8,682,0
41,31,4,7.75,220,7,270,0
42,29,4,7.25,206,7,264,0
43,5,2,2.5,36,5,62,0
44,27,5,5.4,193,8,192,0
45,19,8,2.375,140,11,147,0
46,45,7,6.428571428571429,321,10,365,0
47,43,4,10.75,304,7,320,0
48,50,4,12.5,353,7,360,0
49,67,3,22.333333333333332,471,6,520,0
50,13,2,6.5,92,5,80,0
51,51,5,10.2,361,8,396,0
52,4,2,2.0,29,5,36,0
53,74,5,14.8,522,8,532,0
54,44,2,22.0,309,5,342,0
55,24,4,6.0,171,7,223,0
56,42,4,10.5,297,7,372,0
57,14,2,7.0,99,5,125,0
58,37,1,37.0,259,4,289,0
59,31,6,5.166666666666667,222,9,284,0
60,12,4,3.0,87,7,108,0
61,68,6,11.333333333333334,481,9,519,0
62,5,1,5.0,35,4,49,0
63,33,6,5.5,236,9,254,0
64,13,4,3.25,94,7,136,0
65,20,5,4.0,144,8,187,0
66,7,2,3.5,50,5,50,0
67,51,6,8.5,362,9,438,0
68,10,3,3.3333333333333335,72,6,75,0
69,109,11,9.909090909090908,773,14,900,0
70,12,4,3.0,87,7,123,0
71,65,8,8.125,462,11,546,0
72,39,6,6.5,278,9,305,0
73,34,4,8.5,241,7,288,0
74,45,3,15.0,317,6,314,0
75,34,3,11.333333333333334,240,6,228,0
76,6,1,6.0,42,4,80,0
77,30,4,7.5,213,7,205,0
78,7,0,inf,48,3,63,0
79,5,2,2.5,36,5,46,0
80,79,6,13.166666666666666,558,9,592,0
81,90,6,15.0,635,9,689,0
82,1,1,1.0,7,4,19,0
83,1,1,1.0,7,4,8,0
84,53,3,17.666666666666668,373,6,468,0
85,11,2,5.5,78,5,86,0
86,58,4,14.5,409,7,457,0
87,38,3,12.666666666666666,268,6,278,0
88,8,1,8.0,56,4,77,0
89,21,3,7.0,149,6,155,0
90,93,6,15.5,656,9,723,0
91,63,3,21.0,443,6,503,0
92,62,5,12.4,438,8,511,0
93,120,2,60.0,841,5,889,0
94,47,3,15.666666666666666,331,6,376,0
95,47,5,9.4,333,8,380,0
96,36,4,9.0,255,7,312,0
97,16,4,4.0,115,7,156,0
98,63,7,9.0,447,10,517,0
99,116,6,19.333333333333332,817,9,806,0
100,1,0,inf,6,3,21,0
101,40,3,13.333333333333334,282,6,316,0
102,7,2,3.5,50,5,44,0
103,77,7,11.0,545,10,575,0
104,24,4,6.0,171,7,181,0
105,7,1,7.0,49,4,71,0
106,3,1,3.0,21,4,41,0
107,73,5,14.6,515,8,534,0
108,12,3,4.0,86,6,114,0
109,44,3,14.666666666666666,310,6,351,0
110,17,4,4.25,122,7,146,0
111,60,5,12.0,424,8,438,0
112,63,4,15.75,444,7,443,0
113,30,2,15.0,211,5,234,0
114,112,3,37.333333333333336,786,6,836,0
115,13,2,6.5,92,5,81,0
116,52,4,13.0,367,7,364,0
117,5,2,2.5,36,5,52,0
118,28,3,9.333333333333334,198,6,217,0
119,90,3,30.0,632,6,727,0
120,47,7,6.714285714285714,335,10,388,0
121,40,4,10.0,283,7,301,0
122,31,5,6.2,221,8,226,0
123,19,4,4.75,136,7,141,0
124,44,4,11.0,311,7,308,0
125,10,3,3.3333333333333335,72,6,88,0
126,36,2,18.0,253,5,262,0
127,45,4,11.25,318,7,377,0
128,46,3,15.333333333333334,324,6,365,0
129,31,7,4.428571428571429,223,10,251,0
130,13,2,6.5,92,5,110,0
131,62,2,31.0,435,5,468,0
132,40,4,10.0,283,7,347,0
133,31,3,10.333333333333334,219,6,251,0
134,13,4,3.25,94,7,131,0
135,16,6,2.6666666666666665,117,9,135,0
136,55,9,6.111111111111111,393,12,477,0
137,48,7,6.857142857142857,342,10,437,0
138,45,4,11.25,318,7,376,0
139,32,6,5.333333333333333,229,9,296,0
140,53,6,8.833333333333334,376,9,389,0
141,86,4,21.5,605,7,666,0
142,46,3,15.333333333333334,324,6,338,0
143,19,2,9.5,134,5,152,0
144,79,1,79.0,553,4,609,0
145,48,2,24.0,337,5,324,0
146,77,9,8.555555555555555,547,12,569,0
147,6,2,3.0,43,5,49,0
148,7,2,3.5,50,5,84,0
149,3,0,inf,20,3,41,0
150,33,3,11.0,233,6,252,0
151,37,5,7.4,263,8,305,0
152,11,2,5.5,78,5,98,0
153,11,4,2.75,80,7,75,0
154,65,7,9.285714285714286,461,10,520,0
155,60,4,15.0,423,7,396,0
156,20,4,5.0,143,7,181,0
157,6,2,3.0,43,5,40,0
158,83,8,10.375,588,11,655,0
159,11,3,3.6666666666666665,79,6,116,0
160,30,3,10.0,212,6,219,0
161,0,2,0.0,1,5,15,0
162,19,2,9.5,134,5,133,0
163,82,5,16.4,578,8,646,0
164,36,5,7.2,256,8,313,0
165,9,1,9.0,63,4,64,0
166,43,4,10.75,304,7,336,0
167,62,9,6.888888888888889,442,12,540,0
168,49,4,12.25,346,7,404,0
169,36,4,9.0,255,7,272,0
170,69,6,11.5,488,9,561,0
171,2,1,2.0,14,4,25,0
172,5,0,inf,34,3,67,0
173,33,5,6.6,235,8,252,0
174,50,6,8.333333333333334,355,9,397,0
175,25,4,6.25,178,7,178,0
176,18,1,18.0,126,4,142,0
177,67,10,6.7,478,13,478,0
178,63,6,10.5,446,9,513,0
179,33,5,6.6,235,8,248,0
180,61,2,30.5,428,5,499,0
181,11,4,2.75,80,7,119,0
182,38,10,3.8,275,13,319,0
183,48,4,12.0,339,7,388,0
184,38,4,9.5,269,7,278,0
185,17,3,5.666666666666667,121,6,134,0
186,48,8,6.0,343,11,357,0
187,48,5,9.6,340,8,430,0
188,29,2,14.5,204,5,201,0
189,8,2,4.0,57,5,71,0
190,30,3,10.0,212,6,222,0
191,75,4,18.75,528,7,651,0
192,16,3,5.333333333333333,114,6,132,0
193,23,5,4.6,165,8,190,0
194,50,2,25.0,351,5,354,0
195,4,2,2.0,29,5,39,0
196,33,7,4.714285714285714,237,10,241,0
197,74,3,24.666666666666668,520,6,596,0
198,42,1,42.0,294,4,390,0
199,49,5,9.8,347,8,417,0
200,105,6,17.5,740,9,806,0
201,70,4,17.5,493,7,539,0
202,0,0,0.0,-1,3,8,0
203,52,8,6.5,371,11,398,0
204,10,2,5.0,71,5,82,0
205,48,6,8.0,341,9,393,0
206,18,2,9.0,127,5,134,0
207,17,1,17.0,119,4,227,0
208,18,3,6.0,128,6,148,0
209,47,4,11.75,332,7,390,0
210,16,4,4.0,115,7,136,0
211,40,3,13.333333333333334,282,6,323,0
212,37,6,6.166666666666667,264,9,317,0
213,23,2,11.5,162,5,176,0
214,31,6,5.166666666666667,222,9,254,0
215,26,0,inf,181,3,154,0
216,14,3,4.666666666666667,100,6,134,0
