Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,3,0,inf,29,5,5,0
1,4,0,inf,39,25,28,0
2,3,1,3.0,30,34,36,0
3,4,1,4.0,40,42,58,0
4,4,0,inf,39,43,52,0
5,4,0,inf,39,42,45,0
6,2,1,2.0,20,24,48,0
7,4,0,inf,39,25,27,0
8,5,0,inf,49,42,101,0
9,5,1,5.0,50,35,50,0
10,5,1,5.0,50,45,45,0
11,1,1,1.0,10,5,8,0
12,2,0,inf,19,23,37,0
13,4,1,4.0,40,27,36,0
14,5,0,inf,49,39,42,0
15,2,0,inf,19,13,18,0
16,3,0,inf,29,20,30,0
17,5,1,5.0,50,44,47,0
18,5,2,2.5,51,55,127,0
19,6,1,6.0,60,38,45,0
20,8,0,inf,79,51,64,0
21,4,0,inf,39,32,40,0
22,2,1,2.0,20,24,39,0
23,5,0,inf,49,41,44,0
24,3,0,inf,29,25,33,0
25,2,0,inf,19,17,22,0
26,6,1,6.0,60,49,59,0
27,8,5,1.6,84,72,87,0
28,3,0,inf,29,33,71,0
29,3,1,3.0,30,28,33,0
30,4,0,inf,39,30,37,0
31,6,1,6.0,60,64,89,0
32,4,0,inf,39,36,38,0
33,5,0,inf,49,31,38,0
34,4,2,2.0,41,45,58,0
35,3,0,inf,29,33,48,0
36,3,0,inf,29,22,26,0
37,3,1,3.0,30,34,78,0
38,6,0,inf,59,61,64,0
39,2,0,inf,19,19,25,0
40,3,0,inf,29,24,27,0
41,6,2,3.0,61,55,61,0
42,1,0,inf,9,5,9,0
43,6,0,inf,59,56,64,0
44,7,1,7.0,70,48,53,0
45,3,1,3.0,30,34,36,0
46,4,0,inf,39,29,34,0
47,3,0,inf,29,17,18,0
48,3,0,inf,29,25,32,0
49,2,2,1.0,21,25,28,0
50,4,1,4.0,40,33,40,0
51,3,1,3.0,30,24,31,0
52,3,1,3.0,30,28,38,0
53,2,1,2.0,20,24,51,0
54,6,2,3.0,61,65,72,0
55,8,0,inf,79,59,63,0
56,2,3,0.6666666666666666,22,26,57,0
57,5,3,1.6666666666666667,52,54,58,0
58,4,0,inf,39,21,24,0
59,2,0,inf,19,20,26,0
60,6,2,3.0,61,65,75,0
61,3,2,1.5,31,34,37,0
62,6,0,inf,59,57,63,0
63,3,2,1.5,31,35,61,0
64,2,0,inf,19,23,36,0
65,8,1,8.0,80,55,61,0
66,3,0,inf,29,25,31,0
67,6,1,6.0,60,43,46,0
68,3,1,3.0,30,34,45,0
69,4,0,inf,39,43,50,0
70,7,1,7.0,70,47,48,0
71,6,0,inf,59,53,122,0
72,7,4,1.75,73,53,60,0
73,4,0,inf,39,26,30,0
74,4,1,4.0,40,41,45,0
75,2,0,inf,19,20,22,0
76,4,1,4.0,40,44,61,0
77,8,1,8.0,80,59,64,0
78,5,3,1.6666666666666667,52,56,71,0
79,6,0,inf,59,44,49,0
80,3,2,1.5,31,29,38,0
81,4,1,4.0,40,44,55,0
82,6,2,3.0,61,65,113,0
83,4,3,1.3333333333333333,42,45,71,0
84,6,0,inf,59,40,49,0
85,5,1,5.0,50,43,55,0
86,6,1,6.0,60,64,68,0
87,5,1,5.0,50,46,51,0
88,3,0,inf,29,25,27,0
89,3,0,inf,29,18,26,0
90,4,2,2.0,41,27,41,0
91,3,1,3.0,30,22,28,0
92,5,0,inf,49,38,42,0
93,4,0,inf,39,40,43,0
94,6,0,inf,59,34,36,0
95,6,0,inf,59,38,41,0
96,3,1,3.0,30,34,40,0
97,6,3,2.0,62,63,73,0
98,5,0,inf,49,46,61,0
99,5,0,inf,49,26,36,0
